U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time;
02,60;3,83;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:21,939;
02,60;3,71;00,00;11,25;600,0;41,8;N/A;N/A;OFF;ON;CC;NONE;00:00:22,439;
02,60;3,82;00,00;0,28;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:22,939;
02,60;3,78;00,00;5,31;600,0;20,0;N/A;N/A;OFF;ON;CC;NONE;00:00:23,439;
02,60;3,69;00,00;13,78;600,0;50,8;N/A;N/A;OFF;ON;CC;NONE;00:00:23,939;
02,60;3,65;00,00;16,94;600,0;61,8;N/A;N/A;OFF;ON;CC;NONE;00:00:24,439;
02,60;3,65;00,00;16,01;600,0;58,4;N/A;N/A;OFF;ON;CC;NONE;00:00:24,939;
02,60;3,66;00,00;15,04;600,0;55,0;N/A;N/A;OFF;ON;CC;NONE;00:00:25,439;
02,60;3,70;00,00;10,68;600,0;39,5;N/A;N/A;OFF;ON;CC;NONE;00:00:25,939;
02,60;3,75;00,00;5,46;600,0;20,5;N/A;N/A;OFF;ON;CC;NONE;00:00:26,439;
02,60;3,81;00,00;0,55;600,0;2,1;N/A;N/A;OFF;ON;CC;NONE;00:00:26,939;
02,60;3,70;00,00;11,04;600,0;40,8;N/A;N/A;OFF;ON;CC;NONE;00:00:27,439;
02,60;3,78;00,00;3,76;600,0;14,2;N/A;N/A;OFF;ON;CC;NONE;00:00:27,939;
02,60;3,80;00,00;1,58;600,0;6,0;N/A;N/A;OFF;ON;CC;NONE;00:00:28,439;
02,60;3,80;00,00;2,44;600,0;9,3;N/A;N/A;OFF;ON;CC;NONE;00:00:28,939;
02,60;3,82;00,00;0,42;600,0;1,6;N/A;N/A;OFF;ON;CC;NONE;00:00:29,439;
02,60;3,71;00,00;10,63;600,0;39,5;N/A;N/A;OFF;ON;CC;NONE;00:00:29,939;
02,60;3,80;00,00;1,61;600,0;6,1;N/A;N/A;OFF;ON;CC;NONE;00:00:30,439;
02,60;3,63;00,00;19,15;600,0;69,3;N/A;N/A;OFF;ON;CC;NONE;00:00:30,939;
02,60;3,56;00,00;24,46;600,0;87,0;N/A;N/A;OFF;ON;CC;NONE;00:00:31,439;
02,60;3,52;00,00;28,01;600,0;98,4;N/A;N/A;OFF;ON;CC;NONE;00:00:31,939;
02,60;3,61;00,00;17,63;600,0;63,7;N/A;N/A;OFF;ON;CC;NONE;00:00:32,439;
02,60;3,78;00,00;1,21;600,0;4,5;N/A;N/A;OFF;ON;CC;NONE;00:00:32,939;
02,60;3,80;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:33,439;
02,60;3,81;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:33,939;
02,60;3,81;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:34,439;
02,60;3,81;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:34,939;
02,60;3,82;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:35,439;
02,60;3,70;00,00;11,44;600,0;42,3;N/A;N/A;OFF;ON;CC;NONE;00:00:35,939;
02,60;3,80;00,00;1,01;600,0;3,9;N/A;N/A;OFF;ON;CC;NONE;00:00:36,439;
02,60;3,76;00,00;5,85;600,0;22,0;N/A;N/A;OFF;ON;CC;NONE;00:00:36,939;
02,60;3,70;00,00;11,04;600,0;40,8;N/A;N/A;OFF;ON;CC;NONE;00:00:37,439;
02,60;3,74;00,00;6,45;600,0;24,1;N/A;N/A;OFF;ON;CC;NONE;00:00:37,939;
02,60;3,78;00,00;3,36;600,0;12,5;N/A;N/A;OFF;ON;CC;NONE;00:00:38,439;
02,60;3,77;00,00;4,76;600,0;17,9;N/A;N/A;OFF;ON;CC;NONE;00:00:38,939;
02,60;3,67;00,00;14,08;600,0;51,7;N/A;N/A;OFF;ON;CC;NONE;00:00:39,439;
02,60;3,67;00,00;13,80;600,0;50,6;N/A;N/A;OFF;ON;CC;NONE;00:00:39,939;
02,60;3,72;00,00;8,75;600,0;32,5;N/A;N/A;OFF;ON;CC;NONE;00:00:40,439;
02,60;3,79;00,00;1,87;600,0;7,1;N/A;N/A;OFF;ON;CC;NONE;00:00:40,939;
02,60;3,70;00,00;10,74;600,0;39,7;N/A;N/A;OFF;ON;CC;NONE;00:00:41,439;
02,60;3,70;00,00;9,99;600,0;37,0;N/A;N/A;OFF;ON;CC;NONE;00:00:41,939;
02,60;3,74;00,00;5,75;600,0;21,5;N/A;N/A;OFF;ON;CC;NONE;00:00:42,439;
02,60;3,79;00,00;1,45;600,0;5,5;N/A;N/A;OFF;ON;CC;NONE;00:00:42,939;
02,60;3,64;00,00;16,57;600,0;60,2;N/A;N/A;OFF;ON;CC;NONE;00:00:43,439;
02,60;3,64;00,00;15,66;600,0;57,1;N/A;N/A;OFF;ON;CC;NONE;00:00:43,939;
02,60;3,59;00,00;20,52;600,0;73,6;N/A;N/A;OFF;ON;CC;NONE;00:00:44,439;
02,60;3,53;00,00;25,42;600,0;89,8;N/A;N/A;OFF;ON;CC;NONE;00:00:44,939;
02,60;3,64;00,00;14,26;600,0;51,8;N/A;N/A;OFF;ON;CC;NONE;00:00:45,439;
02,60;3,78;00,00;0,42;600,0;1,6;N/A;N/A;OFF;ON;CC;NONE;00:00:45,939;
02,60;3,79;00,00;0,30;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:46,439;
02,60;3,80;00,00;0,23;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:46,939;
02,60;3,80;00,00;0,16;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:47,439;
02,60;3,81;00,00;0,10;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:47,939;
02,60;3,81;00,00;0,00;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:48,439;
02,60;3,71;00,00;9,88;600,0;36,6;N/A;N/A;OFF;ON;CC;NONE;00:00:48,939;
02,60;3,68;00,00;12,55;600,0;46,1;N/A;N/A;OFF;ON;CC;NONE;00:00:49,439;
02,60;3,64;00,00;15,19;600,0;55,4;N/A;N/A;OFF;ON;CC;NONE;00:00:49,939;
02,60;3,62;00,00;17,80;600,0;64,4;N/A;N/A;OFF;ON;CC;NONE;00:00:50,439;
02,60;3,67;00,00;12,43;600,0;45,6;N/A;N/A;OFF;ON;CC;NONE;00:00:50,939;
02,60;3,71;00,00;7,77;600,0;28,8;N/A;N/A;OFF;ON;CC;NONE;00:00:51,439;
02,60;3,74;00,00;5,44;600,0;20,3;N/A;N/A;OFF;ON;CC;NONE;00:00:51,939;
02,60;3,77;00,00;3,12;600,0;11,8;N/A;N/A;OFF;ON;CC;NONE;00:00:52,439;
02,60;3,79;00,00;0,80;600,0;3,0;N/A;N/A;OFF;ON;CC;NONE;00:00:52,939;
02,60;3,67;00,00;12,59;600,0;46,3;N/A;N/A;OFF;ON;CC;NONE;00:00:53,439;
02,60;3,78;00,00;1,69;600,0;6,3;N/A;N/A;OFF;ON;CC;NONE;00:00:53,939;
02,60;3,64;00,00;14,73;600,0;53,7;N/A;N/A;OFF;ON;CC;NONE;00:00:54,439;
02,60;3,63;00,00;15,82;600,0;57,4;N/A;N/A;OFF;ON;CC;NONE;00:00:54,939;
02,60;3,63;00,00;15,89;600,0;57,6;N/A;N/A;OFF;ON;CC;NONE;00:00:55,439;
02,60;3,66;00,00;12,18;600,0;44,6;N/A;N/A;OFF;ON;CC;NONE;00:00:55,939;
02,60;3,70;00,00;8,44;600,0;31,2;N/A;N/A;OFF;ON;CC;NONE;00:00:56,439;
02,60;3,74;00,00;4,69;600,0;17,5;N/A;N/A;OFF;ON;CC;NONE;00:00:56,939;
02,60;3,78;00,00;0,95;600,0;3,6;N/A;N/A;OFF;ON;CC;NONE;00:00:57,439;
02,60;3,70;00,00;9,28;600,0;34,3;N/A;N/A;OFF;ON;CC;NONE;00:00:57,939;
02,60;3,79;00,00;0,18;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:58,439;
02,60;3,80;00,00;0,22;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:58,939;
02,60;3,80;00,00;0,30;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:00:59,439;
02,60;3,80;00,00;0,35;600,0;1,4;N/A;N/A;OFF;ON;CC;NONE;00:00:59,939;
02,60;3,78;00,00;2,59;600,0;9,8;N/A;N/A;OFF;ON;CC;NONE;00:01:00,439;
02,60;3,71;00,00;8,76;600,0;32,5;N/A;N/A;OFF;ON;CC;NONE;00:01:00,939;
02,60;3,65;00,00;15,10;600,0;55,1;N/A;N/A;OFF;ON;CC;NONE;00:01:01,439;
02,60;3,57;00,00;21,42;600,0;76,6;N/A;N/A;OFF;ON;CC;NONE;00:01:01,939;
02,60;3,50;00,00;27,75;600,0;97,2;N/A;N/A;OFF;ON;CC;NONE;00:01:02,439;
02,60;3,54;00,00;23,34;600,0;82,5;N/A;N/A;OFF;ON;CC;NONE;00:01:02,939;
02,60;3,64;00,00;13,20;600,0;48,0;N/A;N/A;OFF;ON;CC;NONE;00:01:03,439;
02,60;3,75;00,00;2,88;600,0;10,8;N/A;N/A;OFF;ON;CC;NONE;00:01:03,939;
02,60;3,59;00,00;19,12;600,0;68,5;N/A;N/A;OFF;ON;CC;NONE;00:01:04,439;
02,60;3,62;00,00;15,78;600,0;57,1;N/A;N/A;OFF;ON;CC;NONE;00:01:04,939;
02,60;3,56;00,00;21,48;600,0;76,4;N/A;N/A;OFF;ON;CC;NONE;00:01:05,439;
02,60;3,52;00,00;24,36;600,0;85,6;N/A;N/A;OFF;ON;CC;NONE;00:01:05,939;
02,60;3,69;00,00;7,34;600,0;27,0;N/A;N/A;OFF;ON;CC;NONE;00:01:06,439;
02,60;3,77;00,00;0,31;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:01:06,939;
02,60;3,77;00,00;0,85;600,0;3,3;N/A;N/A;OFF;ON;CC;NONE;00:01:07,439;
02,60;3,76;00,00;2,54;600,0;9,5;N/A;N/A;OFF;ON;CC;NONE;00:01:07,939;
02,60;3,72;00,00;6,38;600,0;23,8;N/A;N/A;OFF;ON;CC;NONE;00:01:08,439;
02,60;3,75;00,00;3,11;600,0;11,7;N/A;N/A;OFF;ON;CC;NONE;00:01:08,939;
02,60;3,78;00,00;0,14;600,0;0,0;N/A;N/A;OFF;ON;CC;NONE;00:01:09,439;
